granule_id,mgrs_tile,date,source_granule_id,cloud_cover,spatial_cover,LaSRC_version,mean_view_zenith_angle,mean_view_azimuth_angle,mean_sun_zenith_angle,mean_sun_azimuth_angle,,,,,,,,,,,,,,,
HLS.L30.T05WMR.2021272T215526.v2.0,05WMR,2021-09-29,LC08_L1TP_076012_20210929_20211013_02_T1,3,94,LaSRCv3.0.5,3,246,71,177,,,,,,,,,,,,,,,
HLS.L30.T05WMR.2022101T214233.v2.0,05WMR,2022-04-11,LC08_L1TP_074012_20220411_20220412_02_RT,0,60,LaSRCv3.0.5,5.60454689,114.566789,59.64888373,170.6665322,,,,,,,,,,,,,,,
HLS.L30.T05WMR.2022116T214840.v2.0,05WMR,2022-04-26,LC09_L1TP_075012_20220426_20220427_02_T1,10,100,LaSRCv3.0.5,3.09315482,150.9192834,54.44097356,172.446438,,,,,,,,,,,,,,,
HLS.L30.T05WMR.2022139T215435.v2.0,05WMR,2022-05-19,LC09_L1TP_076012_20220519_20220519_02_T1,9,98,LaSRCv3.0.5,3.36581781,254.808037,48.19810762,174.2327068,,,,,,,,,,,,,,,
HLS.L30.T05WMR.2022141T214214.v2.0,05WMR,2022-05-21,LC09_L1TP_074012_20220521_20220522_02_T1,8,58,LaSRCv3.0.5,5.690714,113.7858956,47.85199323,170.9689871,,,,,,,,,,,,,,,
HLS.L30.T10TDT.2021245T190204.v2.0,10TDT,2021-09-02,LC08_L1TP_047027_20210902_20210910_02_T1,1,100,LaSRCv3.0.5,2.72802616,163.3451052,42.581212,153.1672654,,,,,,,,,,,,,,,
HLS.L30.T10TDT.2022200T190206.v2.0,10TDT,2022-07-19,LC08_L1TP_047027_20220719_20220720_02_RT,5,100,LaSRCv3.0.5,2.72154192,163.8417174,31.00778571,142.3730383,,,,,,,,,,,,,,,
HLS.L30.T10TER.2021062T185600.v2.0,10TER,2021-03-03,LC08_L1TP_046028_20210303_20210312_02_T1,6,100,LaSRCv3.0.5,2.86059699,217.5883618,55.42642487,154.1125492,,,,,,,,,,,,,,,
HLS.L30.T10TER.2021110T185541.v2.0,10TER,2021-04-20,LC08_L1TP_046028_20210420_20210430_02_T1,1,100,LaSRCv3.0.5,2.94592027,221.6730157,37.10127778,149.8193194,,,,,,,,,,,,,,,
HLS.L30.T10TER.2021190T185557.v2.0,10TER,2021-07-09,LC08_L1TP_046028_20210709_20210720_02_T1,10,100,LaSRCv3.0.5,2.8136791,215.079128,28.25397872,138.9972459,,,,,,,,,,,,,,,
HLS.L30.T10TER.2022097T185550.v2.0,10TER,2022-04-07,LC08_L1TP_046028_20220407_20220407_02_RT,1,100,LaSRCv3.0.5,2.98608682,223.4698411,41.82278469,151.3033255,,,,,,,,,,,,,,,
HLS.L30.T10TER.2022177T185617.v2.0,10TER,2022-06-26,LC08_L1TP_046028_20220626_20220627_02_RT,0,100,LaSRCv3.0.5,2.88852272,219.0156978,27.00758476,138.9977671,,,,,,,,,,,,,,,
